id,address,lat,lng,house_no,city,state_code,zip_code
376,"401 W Evergreen Ave, Palmer, AK 99645 USA",61.59941,-149.114,401,Palmer,AK,99645
1901,"214 Kirkland St, Abbeville, AL 36310 USA",31.56762,-85.2512,214,Abbeville,AL,36310
644,"2517 County Road 36, Akron, AL 35441 USA",32.87059,-87.7213,2517,Akron,AL,35441
1419,"7959 US Highway 431, Albertville, AL 35950 USA",34.28,-86.217,7959,Albertville,AL,35950
37,"118 Shelby St, Andalusia, AL 36421 USA",31.32004,-86.4623,118,Andalusia,AL,36421
431,"28513 US Highway 29, Andalusia, AL 36421 USA",31.39823,-86.4784,28513,Andalusia,AL,36421
1386,"1143 N Brindlee Mountain Pkwy, Arab, AL 35016 USA",34.33605,-86.5041,1143,Arab,AL,35016
465,"73 N Broadway St, Ashford, AL 36312 USA",31.1773,-85.2386,73,Ashford,AL,36312
1268,"1033 US Highway 72 E, Athens, AL 35611 USA",34.786,-86.9546,1033,Athens,AL,35611
1278,"15412 Greenfield Dr, Athens, AL 35613 USA",34.78039,-86.9273,15412,Athens,AL,35613
1686,"1515 S Main St, Atmore, AL 36502 USA",31.00442,-87.4928,1515,Atmore,AL,36502
1312,"17719 Highway 18 E, Berry, AL 35546 USA",33.66007,-87.6041,17719,Berry,AL,35546
1950,"3459 Warrior River Rd, Bessemer, AL 35023 USA",33.46351,-87.0253,3459,Bessemer,AL,35023
813,"2285 US Highway 431, Boaz, AL 35957 USA",34.21856,-86.1592,2285,Boaz,AL,35957
1021,"10438 Highway 5, Brent, AL 35034 USA",32.95901,-87.1699,10438,Brent,AL,35034
1363,"414 Sa Graham Blvd, Brundidge, AL 36010 USA",31.72084,-85.8282,414,Brundidge,AL,36010
1182,"2612 S Jackson St, Castleberry, AL 36432 USA",31.2958,-87.0215,2612,Castleberry,AL,36432
445,"8565 US Highway 411 N, Centre, AL 35960 USA",34.10677,-85.553,8565,Centre,AL,35960
1772,"880 Chesnut Byp, Centre, AL 35960 USA",34.1632,-85.6898,880,Centre,AL,35960
1462,"10961 Highway 45, Chunchula, AL 36521 USA",30.9193,-88.2,10961,Chunchula,AL,36521
1387,"2109 7th St N, Clanton, AL 35045 USA",32.80258,-86.5845,2109,Clanton,AL,35045
1587,"30161 Woodrow Ln, Daphne, AL 36527 USA",30.66745,-87.8527,30161,Daphne,AL,36527
1465,"1404 US Highway 80 W, Demopolis, AL 36732 USA",32.49441,-87.8551,1404,Demopolis,AL,36732
573,"2375 Sharon Blvd, Dora, AL 35062 USA",33.72962,-87.0896,2375,Dora,AL,35062
1721,"5950 Highway 45, Eight Mile, AL 36613 USA",30.81477,-88.1565,5950,Eight Mile,AL,36613
229,"Swc Alabama 27 &County Rd 636, Enterprise, AL 36330 USA",31.25476,-85.9644,Swc,Enterprise,AL,36330
258,"908 Rucker Blvd, Enterprise, AL 36330 USA",31.3231,-85.8288,908,Enterprise,AL,36330
586,"707 Boll Weevil Cir, Enterprise, AL 36330 USA",31.32577,-85.8341,707,Enterprise,AL,36330
717,"26500 Highway 134, Enterprise, AL 36330 USA",31.29733,-85.7916,26500,Enterprise,AL,36330
1099,"701 Boll Weevil Cir, Enterprise, AL 36330 USA",31.32383,-85.8324,701,Enterprise,AL,36330
1250,"900 Rucker Blvd, Enterprise, AL 36330 USA",31.32252,-85.8303,900,Enterprise,AL,36330
1994,"6 Highway 95, Eufaula, AL 36027 USA",31.91917,-85.1528,6,Eufaula,AL,36027
1889,"1010 Liberty Hill Dr, Evergreen, AL 36401 USA",31.45479,-86.9635,1010,Evergreen,AL,36401
811,"1426 Temple Ave N, Fayette, AL 35555 USA",33.70371,-87.8258,1426,Fayette,AL,35555
338,"1510 N Wood Ave, Florence, AL 35630 USA",34.82135,-87.6812,1510,Florence,AL,35630
280,"3165 S McKenzie St, Foley, AL 36535 USA",30.36719,-87.6801,3165,Foley,AL,36535
405,"7976 State Highway 59, Foley, AL 36535 USA",30.34044,-87.6805,7976,Foley,AL,36535
730,"1327 S McKenzie St, Foley, AL 36535 USA",30.3909,-87.6829,1327,Foley,AL,36535
1223,"230 E Fern Ave, Foley, AL 36535 USA",30.42093,-87.6808,230,Foley,AL,36535
1746,"2550 S McKenzie St, Foley, AL 36535 USA",30.38007,-87.6858,2550,Foley,AL,36535
1407,"1644 Forestdale Blvd, Forestdale, AL 35214 USA",33.56918,-86.8997,1644,Forestdale,AL,35214
602,"104 19th St NW, Fort Payne, AL 35967 USA",34.45927,-85.7075,104,Fort Payne,AL,35967
1836,"1824 Glenn Blvd SW, Fort Payne, AL 35968 USA",34.43788,-85.7586,1824,Fort Payne,AL,35968
775,"714 Enterprise Rd, Geneva, AL 36340 USA",31.05011,-85.8588,714,Geneva,AL,36340
1405,"41102 AL Highway 75, Geraldine, AL 35974 USA",34.36569,-86.0035,41102,Geraldine,AL,35974
34,"25149 Highway 82, Gordo, AL 35466 USA",33.32257,-87.9095,25149,Gordo,AL,35466
1078,"1505 State St, Greensboro, AL 36744 USA",32.69964,-87.5982,1505,Greensboro,AL,36744
1247,"915 Fort Dale Rd, Greenville, AL 36037 USA",31.84723,-86.6403,915,Greenville,AL,36037
490,"1551 Gulf Shores Pkwy, Gulf Shores, AL 36542 USA",30.26662,-87.689,1551,Gulf Shores,AL,36542
937,"1844 Gunter Ave, Guntersville, AL 35976 USA",34.34006,-86.3109,1844,Guntersville,AL,35976
54,"110 S State Highway 167, Hartford, AL 36344 USA",31.096,-85.7089,110,Hartford,AL,36344
254,"1505 Main St E, Hartselle, AL 35640 USA",34.44997,-86.9078,1505,Hartselle,AL,35640
786,"9120 Wall Triana Hwy, Harvest, AL 35749 USA",34.85789,-86.7494,9120,Harvest,AL,35749
