id,address,lat,lng
1,"23685 Walton Ave, New Caney, TX 77357 USA",30.15307,-95.2186
2,"55 Maine Mall Rd, South Portland, ME 04106 USA",43.64398,-70.3318
3,"124 Ossipee Trl E, Standish, ME 04084 USA",43.7312,-70.5415
4,"701 N Main St, Harrison, AR 72601 USA",36.23694,-93.1068
5,"700 Minot Ave, Auburn, ME 04210 USA",44.08159,-70.2569
6,"200 Commercial Dr, Columbus, WI 53925 USA",43.34398,-89.0323
7,"609 N 13th St, Decatur, IN 46733 USA",40.83456,-84.9382
8,"915 Holland Ave, Philadelphia, MS 39350 USA",32.7585,-89.1059
9,"502 Water St, Chardon, OH 44024 USA",41.58126,-81.2131
10,"101 US Highway 96 N, Pineland, TX 75968 USA",31.2496,-93.9857
11,"212 S Van Lingle Mungo Blvd, Pageland, SC 29728 USA",34.77192,-80.3822
12,"200 Main St, Leola, AR 72084 USA",34.17615,-92.5917
13,"3431 Scr West, Odessa, TX 79766 USA",31.80325,-102.375
14,"1091 Horicon St, Mayville, WI 53050 USA",43.49351,-88.5577
15,"25 1st St E, Stanton, TN 38069 USA",35.4667,-89.4016
16,"4120 Dean Lakes Blvd, Shakopee, MN 55379 USA",44.77691,-93.4683
17,"5610 Brainerd Rd, Chattanooga, TN 37411 USA",35.01104,-85.2148
18,"15140 Post Rd N, Waynesville, GA 31566 USA",31.23295,-81.7609
19,"315 N Walnut St, Steele, MO 63877 USA",36.08617,-89.8271
20,"7435 Hanson Rd, Hanson, KY 42413 USA",37.4197,-87.4819
21,"2104 Highway 367 N, Bald Knob, AR 72010 USA",35.30416,-91.5776
22,"449 E 15th St, Horton, KS 66439 USA",39.667,-95.5215
23,"1310 Barterbrook Rd, Staunton, VA 24401 USA",38.12787,-79.0626
24,"950 High St, Wadsworth, OH 44281 USA",41.04893,-81.7294
25,"8310 Wilkens Blvd, Mason, OH 45040 USA",39.31807,-84.3172
26,"48 North Garner St, Scottsburg, IN 47170 USA",38.68561,-85.7702
27,"1413 N 65 Hwy, Harrison, AR 72601 USA",36.18826,-93.0231
28,"445 American Way, Grenada, MS 38901 USA",33.83997,-89.8275
29,"503 2 Ave, White Deer, TX 79097 USA",35.43229,-101.178
30,"1212 N 24th St, Clear Lake, IA 50428 USA",43.14654,-93.3589
31,"232 E Broadway St, New Lexington, OH 43764 USA",39.71955,-82.2067
32,"905 E Fordyce St, England, AR 72046 USA",34.54675,-91.96
33,"2708 Buford Rd, North Chesterfield, VA 23235 USA",37.53508,-77.5619
34,"25149 Highway 82, Gordo, AL 35466 USA",33.32257,-87.9095
35,"619 First Street, Glasgow, MT 59230 USA",48.20046,-106.629
36,"674 Sunrise Rd, Petal, MS 39465 USA",31.32085,-89.1846
37,"118 Shelby St, Andalusia, AL 36421 USA",31.32004,-86.4623
38,"2330 S FM 2869, Hawkins, TX 75765 USA",32.75312,-95.1896
39,"1321 Bells Hwy, Walterboro, SC 29488 USA",32.92523,-80.6844
40,"31201 Highway 12, Durant, MS 39063 USA",33.09885,-89.8913
41,"400 N Commerce St, Lovelady, TX 75851 USA",31.13018,-95.4456
42,"6330 Nortonville Rd, Saint Charles, KY 42453 USA",37.18361,-87.5582
43,"825 E Main St, Raymond, MS 39154 USA",32.25493,-90.4084
44,"917 Valley Creek Dr, Farmington, MO 63640 USA",37.79342,-90.4387
45,"71 S State Route F, Garden City, MO 64747 USA",38.5653,-94.1939
46,"9447 River Rd, Marcy, NY 13403 USA",43.13562,-75.2612
47,"60 Redland Rd, Wetumpka, AL 36093 USA",32.46012,-86.1944
48,"598 US Highway 33 E, Weston, WV 26452 USA",39.0462,-80.4632
49,"14753 US Highway 287, Chillicothe, TX 79225 USA",34.25636,-99.51
